"project_id","site_id","datetime","duration","depth_m","variable","observation"
"vera4cast","fcre",2018-08-16 22:50:38,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-08-20 16:21:34,"P1D",1.5,"GreenAlgae_ugL_sample",6.88
"vera4cast","fcre",2018-08-20 16:21:34,"P1D",1.5,"Bluegreens_ugL_sample",0.63
"vera4cast","fcre",2018-08-20 16:21:34,"P1D",1.5,"BrownAlgae_ugL_sample",7.06
"vera4cast","fcre",2018-08-20 16:21:34,"P1D",1.5,"MixedAlgae_ugL_sample",0.36
"vera4cast","fcre",2018-08-27 16:40:16,"P1D",1.5,"GreenAlgae_ugL_sample",7.91
"vera4cast","fcre",2018-08-27 16:40:16,"P1D",1.5,"Bluegreens_ugL_sample",0.11
"vera4cast","fcre",2018-08-27 16:40:16,"P1D",1.5,"BrownAlgae_ugL_sample",8.39
"vera4cast","fcre",2018-08-27 16:40:16,"P1D",1.5,"MixedAlgae_ugL_sample",0.58
"vera4cast","fcre",2018-09-03 14:37:09,"P1D",1.5,"GreenAlgae_ugL_sample",5.46
"vera4cast","fcre",2018-09-03 14:37:09,"P1D",1.5,"Bluegreens_ugL_sample",1.74
"vera4cast","fcre",2018-09-03 14:37:09,"P1D",1.5,"BrownAlgae_ugL_sample",4.95
"vera4cast","fcre",2018-09-03 14:37:09,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-09-07 20:19:47,"P1D",1.5,"GreenAlgae_ugL_sample",8.11
"vera4cast","fcre",2018-09-07 20:19:47,"P1D",1.5,"Bluegreens_ugL_sample",4.31
"vera4cast","fcre",2018-09-07 20:19:47,"P1D",1.5,"BrownAlgae_ugL_sample",1.23
"vera4cast","fcre",2018-09-07 20:19:47,"P1D",1.5,"MixedAlgae_ugL_sample",0.19
"vera4cast","fcre",2018-09-10 19:39:42,"P1D",1.5,"GreenAlgae_ugL_sample",9.62
"vera4cast","fcre",2018-09-10 19:39:42,"P1D",1.5,"Bluegreens_ugL_sample",10.97
"vera4cast","fcre",2018-09-10 19:39:42,"P1D",1.5,"BrownAlgae_ugL_sample",7.05
"vera4cast","fcre",2018-09-10 19:39:42,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-09-12 21:24:29,"P1D",1.5,"GreenAlgae_ugL_sample",9.54
"vera4cast","fcre",2018-09-12 21:24:29,"P1D",1.5,"Bluegreens_ugL_sample",9.22
"vera4cast","fcre",2018-09-12 21:24:29,"P1D",1.5,"BrownAlgae_ugL_sample",4.99
"vera4cast","fcre",2018-09-12 21:24:29,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-09-17 18:51:45,"P1D",1.5,"GreenAlgae_ugL_sample",5.69
"vera4cast","fcre",2018-09-17 18:51:45,"P1D",1.5,"Bluegreens_ugL_sample",11.04
"vera4cast","fcre",2018-09-17 18:51:45,"P1D",1.5,"BrownAlgae_ugL_sample",6.62
"vera4cast","fcre",2018-09-17 18:51:45,"P1D",1.5,"MixedAlgae_ugL_sample",0
"vera4cast","fcre",2018-09-21 21:02:31,"P1D",1.5,"GreenAlgae_ugL_sample",8.11
"vera4cast","fcre",2018-09-21 21:02:31,"P1D",1.5,"Bluegreens_ugL_sample",0.62
"vera4cast","fcre",2018-09-21 21:02:31,"P1D",1.5,"BrownAlgae_ugL_sample",7.16
"vera4cast","fcre",2018-09-21 21:02:31,"P1D",1.5,"MixedAlgae_ugL_sample",0.75
"vera4cast","fcre",2018-09-24 18:28:53,"P1D",1.5,"GreenAlgae_ugL_sample",5.65
"vera4cast","fcre",2018-09-24 18:28:53,"P1D",1.5,"Bluegreens_ugL_sample",3.05
"vera4cast","fcre",2018-09-24 18:28:53,"P1D",1.5,"BrownAlgae_ugL_sample",3.62
"vera4cast","fcre",2018-09-24 18:28:53,"P1D",1.5,"MixedAlgae_ugL_sample",2.49
"vera4cast","fcre",2018-10-01 18:35:22,"P1D",1.5,"GreenAlgae_ugL_sample",6.71
"vera4cast","fcre",2018-10-01 18:35:22,"P1D",1.5,"Bluegreens_ugL_sample",1.82
"vera4cast","fcre",2018-10-01 18:35:22,"P1D",1.5,"BrownAlgae_ugL_sample",3.93
"vera4cast","fcre",2018-10-01 18:35:22,"P1D",1.5,"MixedAlgae_ugL_sample",1.32
"vera4cast","fcre",2018-10-05 20:40:17,"P1D",1.5,"GreenAlgae_ugL_sample",7.88
"vera4cast","fcre",2018-10-05 20:40:17,"P1D",1.5,"Bluegreens_ugL_sample",0.91
"vera4cast","fcre",2018-10-05 20:40:17,"P1D",1.5,"BrownAlgae_ugL_sample",3.27
"vera4cast","fcre",2018-10-05 20:40:17,"P1D",1.5,"MixedAlgae_ugL_sample",1.4
"vera4cast","fcre",2018-10-08 17:09:04,"P1D",1.5,"GreenAlgae_ugL_sample",3.18
"vera4cast","fcre",2018-10-08 17:09:04,"P1D",1.5,"Bluegreens_ugL_sample",0.78
"vera4cast","fcre",2018-10-08 17:09:04,"P1D",1.5,"BrownAlgae_ugL_sample",4.04
"vera4cast","fcre",2018-10-08 17:09:04,"P1D",1.5,"MixedAlgae_ugL_sample",1.59
"vera4cast","fcre",2018-10-15 18:48:32,"P1D",1.5,"GreenAlgae_ugL_sample",2.45
"vera4cast","fcre",2018-10-15 18:48:32,"P1D",1.5,"Bluegreens_ugL_sample",1.07
"vera4cast","fcre",2018-10-15 18:48:32,"P1D",1.5,"BrownAlgae_ugL_sample",1.5
