"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-04,2022-01-05,"chlorophyll-a",8.9637760222653
"OneDProcessModel",2022-01-04,2022-01-06,"chlorophyll-a",10.3719282917989
"OneDProcessModel",2022-01-04,2022-01-07,"chlorophyll-a",11.3121599230794
"OneDProcessModel",2022-01-04,2022-01-08,"chlorophyll-a",13.042248718674
"OneDProcessModel",2022-01-04,2022-01-09,"chlorophyll-a",14.5473300709398
"OneDProcessModel",2022-01-04,2022-01-10,"chlorophyll-a",14.0442574212486
"OneDProcessModel",2022-01-04,2022-01-11,"chlorophyll-a",15.6346985416494
"OneDProcessModel",2022-01-04,2022-01-12,"chlorophyll-a",16.6221883605104
"OneDProcessModel",2022-01-04,2022-01-13,"chlorophyll-a",13.5664082548941
"OneDProcessModel",2022-01-04,2022-01-14,"chlorophyll-a",16.4499646904487
"OneDProcessModel",2022-01-04,2022-01-15,"chlorophyll-a",18.8636479785073
"OneDProcessModel",2022-01-04,2022-01-16,"chlorophyll-a",14.771912788036
"OneDProcessModel",2022-01-04,2022-01-17,"chlorophyll-a",14.0507768134405
"OneDProcessModel",2022-01-04,2022-01-18,"chlorophyll-a",15.0911858987108
"OneDProcessModel",2022-01-04,2022-01-19,"chlorophyll-a",16.4873559648036
"OneDProcessModel",2022-01-04,2022-01-20,"chlorophyll-a",16.820550666981
"OneDProcessModel",2022-01-04,2022-01-21,"chlorophyll-a",15.4569338502476
"OneDProcessModel",2022-01-04,2022-01-22,"chlorophyll-a",18.4081782376612
"OneDProcessModel",2022-01-04,2022-01-23,"chlorophyll-a",20.0690539799236
"OneDProcessModel",2022-01-04,2022-01-24,"chlorophyll-a",19.6793532871474
"OneDProcessModel",2022-01-04,2022-01-25,"chlorophyll-a",18.8414113321411
"OneDProcessModel",2022-01-04,2022-01-26,"chlorophyll-a",16.3525619702332
"OneDProcessModel",2022-01-04,2022-01-27,"chlorophyll-a",15.6856699669316
