"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-10,2022-01-27,"chlorophyll-a",12.5967121124268
"LSTM",2022-01-10,2022-01-28,"chlorophyll-a",13.7786226272583
"LSTM",2022-01-10,2022-01-29,"chlorophyll-a",14.8536624908447
"LSTM",2022-01-10,2022-01-30,"chlorophyll-a",14.8112115859985
"LSTM",2022-01-11,2022-01-11,"chlorophyll-a",12.5046527847222
"LSTM",2022-01-11,2022-01-12,"chlorophyll-a",12.7472476959229
"LSTM",2022-01-11,2022-01-13,"chlorophyll-a",12.6134986877441
"LSTM",2022-01-11,2022-01-14,"chlorophyll-a",12.0436677932739
"LSTM",2022-01-11,2022-01-15,"chlorophyll-a",11.6933813095093
"LSTM",2022-01-11,2022-01-16,"chlorophyll-a",11.4121866226196
"LSTM",2022-01-11,2022-01-17,"chlorophyll-a",10.8934545516968
"LSTM",2022-01-11,2022-01-18,"chlorophyll-a",10.10853099823
"LSTM",2022-01-11,2022-01-19,"chlorophyll-a",9.92279243469238
"LSTM",2022-01-11,2022-01-20,"chlorophyll-a",9.18848991394043
"LSTM",2022-01-11,2022-01-21,"chlorophyll-a",8.45600509643555
"LSTM",2022-01-11,2022-01-22,"chlorophyll-a",8.16998672485352
"LSTM",2022-01-11,2022-01-23,"chlorophyll-a",7.87559223175049
"LSTM",2022-01-11,2022-01-24,"chlorophyll-a",8.00027084350586
"LSTM",2022-01-11,2022-01-25,"chlorophyll-a",8.55367183685303
"LSTM",2022-01-11,2022-01-26,"chlorophyll-a",9.50211524963379
"LSTM",2022-01-11,2022-01-27,"chlorophyll-a",10.9925804138184
"LSTM",2022-01-11,2022-01-28,"chlorophyll-a",12.3702945709229
"LSTM",2022-01-11,2022-01-29,"chlorophyll-a",12.7706384658813
"LSTM",2022-01-11,2022-01-30,"chlorophyll-a",13.9647083282471
"LSTM",2022-01-11,2022-01-31,"chlorophyll-a",14.9911432266235
"LSTM",2022-01-12,2022-01-12,"chlorophyll-a",12.8161971971831
"LSTM",2022-01-12,2022-01-13,"chlorophyll-a",13.0526275634766
"LSTM",2022-01-12,2022-01-14,"chlorophyll-a",12.8416395187378
"LSTM",2022-01-12,2022-01-15,"chlorophyll-a",12.7108697891235
"LSTM",2022-01-12,2022-01-16,"chlorophyll-a",12.1280584335327
"LSTM",2022-01-12,2022-01-17,"chlorophyll-a",11.7667503356934
"LSTM",2022-01-12,2022-01-18,"chlorophyll-a",11.479362487793
"LSTM",2022-01-12,2022-01-19,"chlorophyll-a",10.9453048706055
"LSTM",2022-01-12,2022-01-20,"chlorophyll-a",10.1191244125366
"LSTM",2022-01-12,2022-01-21,"chlorophyll-a",9.92781352996826
