"datetime","depth","variable","prediction","observation"
2020-07-13,1,"temperature",NA,26.0533665693431
2020-07-13,1.6,"temperature",NA,25.7595035971223
2020-07-13,2,"temperature",NA,23.7588535766423
2020-07-13,3,"temperature",NA,17.1140912408759
2020-07-13,4,"temperature",NA,13.208557080292
2020-07-13,5,"temperature",NA,10.5826257664234
2020-07-13,6,"temperature",NA,10.4563808759124
2020-07-13,7,"temperature",NA,10.4546791970803
2020-07-13,8,"temperature",NA,10.4311530656934
2020-07-13,9,"temperature",NA,10.3741453284672
2020-07-14,0.1,"temperature",NA,27.3781797916667
2020-07-14,1,"temperature",NA,25.9966375694444
2020-07-14,1.6,"temperature",NA,25.6233566433566
2020-07-14,2,"temperature",NA,23.7216926388889
2020-07-14,3,"temperature",NA,17.3384006944444
2020-07-14,4,"temperature",NA,13.177063125
2020-07-14,5,"temperature",NA,10.5686483333333
2020-07-14,6,"temperature",NA,10.5125122222222
2020-07-14,7,"temperature",NA,10.5161131944444
2020-07-14,8,"temperature",NA,10.4969495833333
2020-07-14,9,"temperature",NA,10.4745384027778
2020-07-15,0.1,"temperature",NA,26.9574877777778
2020-07-15,1,"temperature",NA,26.2461160416667
2020-07-15,1.6,"temperature",NA,25.5183591549296
2020-07-15,2,"temperature",NA,23.7977147916667
2020-07-15,3,"temperature",NA,17.4879974305556
2020-07-15,4,"temperature",NA,13.2296535416667
2020-07-15,5,"temperature",NA,10.5995222222222
2020-07-15,6,"temperature",NA,10.5591829166667
2020-07-15,7,"temperature",NA,10.5635833333333
2020-07-15,8,"temperature",NA,10.5459401388889
2020-07-15,9,"temperature",NA,10.5233827777778
2020-07-16,0.1,"temperature",NA,26.9831121527778
2020-07-16,1,"temperature",NA,26.2937278472222
2020-07-16,1.6,"temperature",NA,25.6137083333333
2020-07-16,2,"temperature",NA,24.18944625
2020-07-16,3,"temperature",NA,17.5155709722222
2020-07-16,4,"temperature",NA,13.2962032638889
2020-07-16,5,"temperature",NA,10.6479227083333
2020-07-16,6,"temperature",NA,10.6013669444444
2020-07-16,7,"temperature",NA,10.6050963194444
2020-07-16,8,"temperature",NA,10.5876023611111
2020-07-16,9,"temperature",NA,10.5649695833333
2020-07-17,0.1,"temperature",NA,27.7456435416667
2020-07-17,1,"temperature",NA,26.8065584722222
2020-07-17,1.6,"temperature",NA,26.0819230769231
2020-07-17,2,"temperature",NA,24.1561920833333
2020-07-17,3,"temperature",NA,17.6410195833333
2020-07-17,4,"temperature",NA,13.3177831944444
2020-07-17,5,"temperature",NA,10.6715800694444
2020-07-17,6,"temperature",NA,10.6453173611111
2020-07-17,7,"temperature",NA,10.6494016666667
2020-07-17,8,"temperature",NA,10.6317061111111
2020-07-17,9,"temperature",NA,10.6095927083333
2020-07-18,0.1,"temperature",NA,28.2819254166667
2020-07-18,1,"temperature",NA,27.134734375
2020-07-18,1.6,"temperature",NA,26.5627291666667
2020-07-18,2,"temperature",NA,24.3429275
2020-07-18,3,"temperature",NA,17.7494714583333
2020-07-18,4,"temperature",NA,13.3127351388889
2020-07-18,5,"temperature",NA,10.707145
2020-07-18,6,"temperature",NA,10.6822472222222
2020-07-18,7,"temperature",NA,10.6864722222222
2020-07-18,8,"temperature",NA,10.66906875
2020-07-18,9,"temperature",NA,10.6484529861111
2020-07-19,0.1,"temperature",NA,29.2087342361111
2020-07-19,1,"temperature",NA,27.571681875
2020-07-19,1.6,"temperature",NA,26.5192708333333
2020-07-19,2,"temperature",NA,24.5581094444444
2020-07-19,3,"temperature",NA,17.7834681944444
2020-07-19,4,"temperature",NA,13.3479153472222
2020-07-19,5,"temperature",NA,10.7464029166667
2020-07-19,6,"temperature",NA,10.7252710416667
2020-07-19,7,"temperature",NA,10.7301555555556
2020-07-19,8,"temperature",NA,10.7126953472222
2020-07-19,9,"temperature",NA,10.6905106944444
2020-07-20,0.1,"temperature",NA,28.9611921014493
2020-07-20,1,"temperature",NA,27.7485813043478
2020-07-20,1.6,"temperature",NA,26.7280428571429
2020-07-20,2,"temperature",NA,24.7131966666667
2020-07-20,3,"temperature",NA,17.8636474637681
2020-07-20,4,"temperature",NA,13.2962991304348
2020-07-20,5,"temperature",NA,10.7868296376812
2020-07-20,6,"temperature",NA,10.7658676086957
2020-07-20,7,"temperature",NA,10.7704083333333
2020-07-20,8,"temperature",NA,10.7524693478261
2020-07-20,9,"temperature",NA,10.7340258695652
2020-07-21,0.1,"temperature",NA,28.1203568055556
