"datetime","AirTemp_C_mean","PAR_umolm2s_mean","WindSpeed_ms_mean","Flow_cms_mean","Temp_C_mean","SRP_ugL","DIN_ugL","LightAttenuation_Kd","Chla_ugL_mean","Flag_AirTemp_C_mean","Flag_PAR_umolm2s_mean","Flag_WindSpeed_ms_mean","Flag_Flow_cms_mean","Flag_Temp_C_mean","Flag_SRP_ugL","Flag_DIN_ugL","Flag_LightAttenuation_Kd","Flag_Chla_ugL_mean"
2021-08-16,22.88,214.4,1.05,0.02121875,26.1791555555556,6,10,0.957936507936508,18.4338518518519,0,0,0,0,0,0,0,1,0
2021-08-17,22.84,178.89,1.18,0.0145833333333333,25.8705714285714,5.57142857142857,9.42857142857143,0.959863945578231,20.4909243697479,0,0,0,0,0,1,1,1,0
2021-08-18,24.64,298.15,2.05,0.0187604166666667,25.2834583333333,5.14285714285714,8.85714285714286,0.961791383219955,18.9607638888889,0,0,0,0,0,1,1,1,0
2021-08-19,25.18,385.74,1.92,0.0158125,25.444951048951,4.71428571428571,8.28571428571429,0.963718820861678,16.2323776223776,0,0,0,0,0,1,1,1,0
2021-08-20,23.03,286.13,2.15,0.0141770833333333,25.7179701492537,4.28571428571429,7.71428571428571,0.965646258503401,12.9516417985075,0,0,0,0,0,1,1,1,0
2021-08-21,22.7,362.44,1.73,0.01075,25.3536573426573,3.85714285714286,7.14285714285714,0.967573696145125,11.4625174545455,0,0,0,0,0,1,1,1,0
2021-08-22,23.97,489.03,1.86,0.00939583333333333,25.3568263888889,3.42857142857143,6.57142857142857,0.969501133786848,9.75722226388889,0,0,0,0,0,1,1,1,0
2021-08-23,24.72,474.06,2.24,0.00860416666666666,25.71805,3,6,0.971428571428571,8.46635715714286,0,0,0,0,0,0,0,0,0
2021-08-24,25.89,449.82,1.87,0.00847916666666666,26.1194492753623,3.125,6.125,0.961842105263158,7.90971010869565,0,0,0,0,0,1,1,1,0
2021-08-25,25.78,453.12,1.51,0.00821875,26.1727832167832,3.25,6.25,0.952255639097744,8.46090910489511,0,0,0,0,0,1,1,1,0
2021-08-26,25.77,462.66,1.67,0.00792708333333333,26.5321347517731,3.375,6.375,0.942669172932331,9.66524824822695,0,0,0,0,0,1,1,1,0
2021-08-27,25.78,333.07,1.2,0.008,26.8004195804196,3.5,6.5,0.933082706766917,10.9402797062937,0,0,0,0,0,1,1,1,0
2021-08-28,26.7,404.33,1.46,0.00796875,27.1040281690141,3.625,6.625,0.923496240601504,9.47288731690141,0,0,0,0,0,1,1,1,0
2021-08-29,26.2,440.29,1.3,0.00823958333333333,27.0033958333333,3.75,6.75,0.91390977443609,10.5210416805556,0,0,0,0,0,1,1,1,0
2021-08-30,25.6,429.84,1.79,0.00805208333333333,27.2812291666667,3.875,6.875,0.904323308270677,9.16083329861111,0,0,0,0,0,1,1,1,0
2021-08-31,24.3,188.13,1.46,0.0105833333333333,27.2272573529412,4,7,0.894736842105263,9.02985293382353,0,0,0,0,0,0,0,0,0
2021-09-01,23.32,134.2,1.97,0.0176979166666667,26.4581188811189,4.16666666666667,7.83333333333333,0.874401913875598,8.78566434265734,0,0,0,0,0,1,1,1,0
2021-09-02,20.11,467.86,3.42,0.00986458333333333,25.3603472222222,4.33333333333333,8.66666666666667,0.854066985645933,7.63472222916667,0,0,0,0,0,1,1,1,0
2021-09-03,17.82,460.24,1.75,0.00853124999999999,24.3666126760563,4.5,9.5,0.833732057416268,7.9311971971831,0,0,0,0,0,1,1,1,0
2021-09-04,20.51,439.16,1.32,0.00813541666666666,24.0678321678322,4.66666666666667,10.3333333333333,0.813397129186603,8.64979020979021,0,0,0,0,0,1,1,1,0
2021-09-05,23.34,353.95,1.2,0.00801041666666666,24.2966597222222,4.83333333333333,11.1666666666667,0.793062200956938,7.92041667361111,0,0,0,0,0,1,1,1,0
2021-09-06,22.68,432.91,1.77,0.00795833333333333,24.547309352518,5,12,0.772727272727273,7.80884894964029,0,0,0,0,0,0,0,0,0
2021-09-07,21.12,441.62,2.1,0.0075625,24.3404545454545,4.875,12.75,0.746969696969697,6.63132869230769,0,0,0,0,0,1,1,1,0
2021-09-08,22.86,358.44,1.35,0.00761458333333333,24.2195804195804,4.75,13.5,0.721212121212121,6.86146853846154,0,0,0,0,0,1,1,1,0
2021-09-09,22.57,237.4,2.24,0.00766666666666666,24.4663566433566,4.625,14.25,0.695454545454545,5.27930070629371,0,0,0,0,0,1,1,1,0
2021-09-10,19.83,423.06,2.47,0.00708333333333333,23.7811597222222,4.5,15,0.66969696969697,4.64736110416667,0,0,0,0,0,1,1,1,0
2021-09-11,18.58,383.73,1.89,0.00702083333333333,23.0546805555556,4.375,15.75,0.643939393939394,6.13673611111111,0,0,0,0,0,1,1,1,0
2021-09-12,22.83,377.33,1.99,0.0070625,23.0491197183099,4.25,16.5,0.618181818181818,6.18521127464789,0,0,0,0,0,1,1,1,0
2021-09-13,24.88,372.03,2.66,0.00694791666666666,23.1886170212766,4.125,17.25,0.592424242424242,7.81553191489362,0,0,0,0,0,1,1,1,0
2021-09-14,24.12,382.96,1.89,0.00686458333333333,23.4144565217391,4,18,0.566666666666667,8.23108696376812,0,0,0,0,0,0,0,0,0
2021-09-15,23.26,299.52,1.18,0.00689583333333333,23.5398951048951,4,16.2857142857143,0.607142857142857,9.73461538461538,0,0,0,0,0,1,1,1,0
2021-09-16,22.74,220.17,1.29,0.00704166666666666,23.7874791666667,4,14.5714285714286,0.647619047619048,8.5511805625,0,0,0,0,0,1,1,1,0
2021-09-17,22.15,197.61,1,0.007,23.8510138888889,4,12.8571428571429,0.688095238095238,8.62486109722222,0,0,0,0,0,1,1,1,0
2021-09-18,23.19,339.39,1.25,0.00702083333333333,23.9034583333333,4,11.1428571428571,0.728571428571429,6.64388888888889,0,0,0,0,0,1,1,1,0
2021-09-19,23.59,365.81,1.78,0.00673958333333333,23.9945486111111,4,9.42857142857143,0.769047619047619,8.02993055555556,0,0,0,0,0,1,1,1,0
2021-09-20,23.43,200.61,1.41,0.007,24.0998085106383,4,7.71428571428572,0.80952380952381,9.20737587943262,0,0,0,0,0,1,1,1,0
2021-09-21,19.96,59.71,1.33,0.0145833333333333,23.8556714285714,4,6,0.85,7.65378571428571,0,0,0,0,0,0,0,0,0
2021-09-22,21.26,104.2,2.31,0.0772604166666667,22.8260208333333,4.33333333333333,6.83333333333333,0.857456140350877,16.2944366056338,0,0,0,0,0,1,1,1,0
2021-09-23,16.56,390.26,2.71,0.0272083333333333,21.9783566433566,4.66666666666667,7.66666666666667,0.864912280701754,12.2467832237762,0,0,0,0,0,1,1,1,0
2021-09-24,12.76,365.85,2.01,0.0133125,21.0547816901408,5,8.5,0.872368421052632,10.4026760704225,0,0,0,0,0,1,1,1,0
2021-09-25,14.29,332.72,1.88,0.0105833333333333,20.5653566433566,5.33333333333333,9.33333333333333,0.879824561403509,10.7944055804196,0,0,0,0,0,1,1,1,0
2021-09-26,16.02,373.06,2.44,0.00954166666666666,20.3863006993007,5.66666666666667,10.1666666666667,0.887280701754386,14.5151748251748,0,0,0,0,0,1,1,1,0
2021-09-27,17.99,381.78,2.26,0.00905208333333333,19.9147101449275,6,11,0.894736842105263,12.8222463623188,0,0,0,0,0,0,0,0,0
2021-09-28,20.68,242.19,2.23,0.009,19.9563356643357,5.71428571428571,10.5714285714286,0.901837928153718,10.0295774647887,0,0,0,0,0,1,1,1,0
2021-09-29,20.17,357.08,2.12,0.009,20.0723169014084,5.42857142857143,10.1428571428571,0.908939014202172,8.25401409859155,0,0,0,0,0,1,1,1,0
2021-09-30,18.44,365.73,1.08,0.00860416666666666,20.4875902777778,5.14285714285714,9.71428571428572,0.916040100250627,7.12701390277778,0,0,0,0,0,1,1,1,0
2021-10-01,16.64,361.39,1.83,0.0083125,20.4297535211268,4.85714285714286,9.28571428571429,0.923141186299081,7.42204224647887,0,0,0,0,0,1,1,1,0
2021-10-02,17.43,341.07,1.4,0.00847916666666666,20.2690694444444,4.57142857142857,8.85714285714286,0.930242272347536,6.955625,0,0,0,0,0,1,1,1,0
2021-10-03,20.87,284.07,1.46,0.00951041666666666,20.2691666666667,4.28571428571429,8.42857142857143,0.93734335839599,7.57493053472222,0,0,0,0,0,1,1,1,0
2021-10-04,21.19,262.96,0.95,0.00897916666666666,20.4555214285714,4,8,0.944444444444444,7.19800000714286,0,0,0,0,0,0,0,0,0
2021-10-05,21.26,212.32,1,0.01009375,20.7751041666667,4,8.28571428571429,0.971428571428571,7.3988194375,0,0,0,0,0,1,1,1,0
2021-10-06,21.37,112.06,1.02,0.00955208333333333,21.0352727272727,4,8.57142857142857,0.998412698412698,8.38426574825175,0,0,0,0,0,1,1,1,0
2021-10-07,19.17,86.5,1.09,0.0100833333333333,21.0849230769231,4,8.85714285714286,1.02539682539683,9.02069931468532,0,0,0,0,0,1,1,1,0
2021-10-08,17.89,95.97,0.73,0.00909375,20.9414027777778,4,9.14285714285714,1.05238095238095,8.64854166666667,0,0,0,0,0,1,1,1,0
2021-10-09,17.44,86.79,1.02,0.00928125,20.6544788732394,4,9.42857142857143,1.07936507936508,10.4092957816901,0,0,0,0,0,1,1,1,0
2021-10-10,17.46,181.85,2.07,0.009,20.3369230769231,4,9.71428571428571,1.10634920634921,11.0056337676056,0,0,0,0,0,1,1,1,0
2021-10-11,17.26,95.87,1.14,0.009,20.0968865248227,4,10,1.13333333333333,12.1762411347518,0,0,0,0,0,0,0,0,0
2021-10-12,18.2,233.56,0.76,0.00862499999999999,19.8901111111111,3.85714285714286,8.71428571428572,1.13333333333333,12.6002777777778,0,0,0,0,0,1,1,1,0
2021-10-13,19.69,333.06,1.18,0.00852083333333333,20.0831678321678,3.71428571428571,7.42857142857143,1.13333333333333,11.5725174615385,0,0,0,0,0,1,1,1,0
2021-10-14,19.38,285.24,2.22,0.00803125,20.4812727272727,3.57142857142857,6.14285714285714,1.13333333333333,10.0504894755245,0,0,0,0,0,1,1,1,0
2021-10-15,21.26,270.78,1.53,0.008,20.3878169014084,3.42857142857143,4.85714285714286,1.13333333333333,9.89718309859155,0,0,0,0,0,1,1,1,0
2021-10-16,18.69,116.97,1.66,0.00810416666666666,20.4053776223776,3.28571428571429,3.57142857142857,1.13333333333333,9.61356647552448,0,0,0,0,0,1,1,1,0
2021-10-17,15,284.31,2.98,0.0076875,19.2566241134752,3.14285714285714,2.28571428571429,1.13333333333333,9.61432620567376,0,0,0,0,0,1,1,1,0
2021-10-18,12.96,308.86,1.55,0.00758333333333333,18.1737285714286,3,1,1.13333333333333,9.99721427857143,0,0,0,0,0,0,0,0,0
2021-10-19,15.5,314.56,1.98,0.00722916666666666,17.6477943262411,3.14285714285714,1.71428571428571,1.14489795918367,10.3817730638298,0,0,0,0,0,1,1,1,0
2021-10-20,16.35,312.2,2.16,0.00773958333333333,17.3750486111111,3.28571428571429,2.42857142857143,1.15646258503401,9.32145830555556,0,0,0,0,0,1,1,1,0
2021-10-21,17.45,232.54,2.02,0.00801041666666666,17.1231748251748,3.42857142857143,3.14285714285714,1.16802721088435,9.17986016083916,0,0,0,0,0,1,1,1,0
2021-10-22,16.26,247.3,2.04,0.007875,17.2859166666667,3.57142857142857,3.85714285714286,1.17959183673469,8.89638886111111,0,0,0,0,0,1,1,1,0
2021-10-23,15.03,289.03,2.29,0.00772916666666666,16.9621258741259,3.71428571428571,4.57142857142857,1.19115646258503,9.60167825874126,0,0,0,0,0,1,1,1,0
2021-10-24,16.26,288.6,1.58,0.00775,16.7734305555556,3.85714285714286,5.28571428571429,1.20272108843537,9.41111110416667,0,0,0,0,0,1,1,1,0
2021-10-25,17.67,197.37,1.62,0.0090625,16.8991102941176,4,6,1.21428571428571,9.81345586029412,0,0,0,0,0,0,0,0,0
2021-10-26,15.59,226.47,2.21,0.00805208333333333,16.8172657342657,4,19.1111111111111,1.23047619047619,10.169020972028,0,0,0,0,0,1,1,1,0
2021-10-27,13.06,288.23,4.45,0.008,15.9604097222222,4,32.2222222222222,1.24666666666667,11.1097222152778,0,0,0,0,0,1,1,1,0
