"datetime","depth","variable","observation"
2019-02-20,NA,"inflow_rate",0.196
2019-02-20,NA,"n_load",0.2150904
2019-02-20,NA,"p_load",0.0135828
2019-02-21,NA,"inflow_rate",0.2281
2019-02-21,NA,"n_load",0.24789908
2019-02-21,NA,"p_load",0.01612667
2019-02-22,NA,"inflow_rate",0.2447
2019-02-22,NA,"n_load",0.26332167
2019-02-22,NA,"p_load",0.0176184
2019-02-23,NA,"inflow_rate",0.2696
2019-02-23,NA,"n_load",0.2872588
2019-02-23,NA,"p_load",0.01978864
2019-02-24,NA,"inflow_rate",0.2555
2019-02-24,NA,"n_load",0.26952695
2019-02-24,NA,"p_load",0.0191114
2019-02-25,NA,"inflow_rate",0.2309
2019-02-25,NA,"n_load",0.24112887
2019-02-25,NA,"p_load",0.01759458
2019-02-26,NA,"inflow_rate",0.224
2019-02-26,NA,"n_load",0.2315488
2019-02-26,NA,"p_load",0.0173824
2019-02-27,NA,"inflow_rate",0.2168
2019-02-27,NA,"n_load",0.22180808
2019-02-27,NA,"p_load",0.0171272
2019-02-28,NA,"inflow_rate",0.2092
2019-02-28,NA,"n_load",0.211815
2019-02-28,NA,"p_load",0.01681968
2019-03-01,NA,"inflow_rate",0.2086
2019-03-01,NA,"n_load",0.20899634
2019-03-01,NA,"p_load",0.01704262
2019-03-02,NA,"inflow_rate",0.2104
2019-03-02,NA,"n_load",0.20856952
2019-03-02,NA,"p_load",0.01748424
2019-03-03,NA,"inflow_rate",0.2091
2019-03-03,NA,"n_load",0.20504346
2019-03-03,NA,"p_load",0.01766895
2019-03-04,NA,"inflow_rate",0.2157
2019-03-04,NA,"n_load",0.209229
2019-03-04,NA,"p_load",0.01852863
2019-03-05,NA,"inflow_rate",0.2111
2019-03-05,NA,"n_load",0.20252934
2019-03-05,NA,"p_load",0.01842903
2019-03-06,NA,"inflow_rate",0.2092
2019-03-06,NA,"n_load",0.19848896
2019-03-06,NA,"p_load",0.01855604
2019-03-07,NA,"inflow_rate",0.204
2019-03-07,NA,"n_load",0.1913928
2019-03-07,NA,"p_load",0.0183804
2019-03-08,NA,"inflow_rate",0.2026
2019-03-08,NA,"n_load",0.18793176
2019-03-08,NA,"p_load",0.01851764
2019-03-09,NA,"inflow_rate",0.2036
